y=881, x=559..579
y=638, x=502..504
x=561, y=1356..1360
x=571, y=1356..1366
y=918, x=562..567
x=548, y=284..296
x=571, y=1340..1342
x=519, y=380..382
x=533, y=1492..1494
x=545, y=152..155
x=502, y=1548..1560
x=548, y=1277..1280
y=1228, x=563..567
x=567, y=812..822
x=524, y=1442..1454
y=400, x=471..482
y=543, x=486..507
x=546, y=988..999
y=155, x=537..545
x=498, y=269..271
y=328, x=582..610
y=342, x=527..530
x=572, y=818..826
y=1342, x=476..479
x=543, y=919..921
x=579, y=650..655
x=564, y=51..72
y=1158, x=523..525
y=1409, x=516..536
y=490, x=508..518
x=570, y=1383..1411
y=1041, x=554..572
x=480, y=505..525
x=543, y=1747..1759
x=512, y=1335..1345
x=592, y=50..72
y=841, x=525..528
x=517, y=653..654
x=552, y=1173..1198
x=547, y=1016..1026
y=100, x=594..610
y=1521, x=489..501
x=594, y=276..278
x=535, y=423..431
y=1116, x=540..546
x=545, y=888..902
x=502, y=638..642
x=605, y=458..460
x=531, y=1492..1494
y=955, x=602..606
y=527, x=498..501
x=610, y=246..257
y=585, x=548..568
x=526, y=746..759
x=527, y=149..159
y=182, x=512..534
y=1080, x=539..560
x=542, y=813..823
y=1686, x=531..534
x=595, y=245..257
x=524, y=447..457
x=516, y=1399..1409
x=475, y=1169..1171
y=113, x=472..479
y=822, x=549..567
x=603, y=458..460
x=471, y=1068..1087
x=472, y=1417..1425
x=473, y=999..1019
y=343, x=567..572
x=513, y=1555..1557
x=479, y=88..113
y=239, x=556..584
x=563, y=1603..1612
x=503, y=1129..1151
x=552, y=67..80
x=574, y=1533..1558
x=554, y=933..943
x=560, y=1315..1323
x=532, y=1196..1212
y=1363, x=577..587
x=611, y=1157..1172
x=507, y=48..65
x=477, y=285..296
x=570, y=1257..1272
x=567, y=1364..1366
x=595, y=524..537
x=484, y=1244..1267
x=572, y=150..170
x=489, y=1518..1521
x=497, y=69..77
x=493, y=917..930
y=86, x=599..603
y=194, x=473..496
y=741, x=574..580
x=605, y=1109..1132
y=645, x=588..594
x=479, y=3..21
x=564, y=729..747
x=499, y=308..319
y=584, x=526..528
y=1470, x=559..576
x=491, y=229..240
x=475, y=329..343
x=575, y=502..514
y=475, x=472..479
y=533, x=523..538
x=556, y=1007..1020
x=605, y=476..485
x=471, y=1225..1228
x=481, y=1436..1460
x=507, y=1199..1202
y=1389, x=525..542
x=507, y=1174..1184
y=532, x=498..501
