on x=-25..19,y=-17..32,z=-18..27
on x=-16..34,y=-36..15,z=-4..44
on x=-18..33,y=-44..10,z=-1..48
on x=-10..44,y=-24..25,z=-45..3
on x=-49..-2,y=-44..3,z=-35..11
on x=-5..42,y=-48..1,z=-15..35
on x=-26..27,y=-4..49,z=-8..44
on x=-47..-1,y=-40..6,z=-11..40
on x=-41..12,y=-41..9,z=-12..38
on x=-49..4,y=-27..18,z=-12..38
off x=11..25,y=1..10,z=-6..7
on x=-33..17,y=-22..29,z=-8..37
off x=-39..-27,y=11..24,z=-16..-1
on x=-28..18,y=-39..6,z=-39..13
off x=27..41,y=-23..-10,z=35..44
on x=-4..40,y=1..45,z=-21..25
off x=36..49,y=16..33,z=-47..-31
on x=-42..5,y=-43..8,z=-35..14
off x=-39..-22,y=20..29,z=19..30
on x=-10..34,y=-45..5,z=-30..16
on x=58130..74792,y=4830..35228,z=39318..63561
on x=-40466..-17822,y=-77868..-64431,z=-3886..11187
on x=-19073..-1463,y=65422..82885,z=23304..43978
on x=46738..71241,y=39352..59200,z=-5917..-3830
on x=-19010..13307,y=-96005..-74582,z=-19665..-2574
on x=-60112..-47300,y=-46572..-26967,z=-59253..-29957
on x=-66448..-41722,y=35529..57095,z=24647..44817
on x=-32187..-7009,y=-58802..-52885,z=-59593..-37103
on x=-90935..-64508,y=15951..29237,z=7318..29845
on x=7010..16589,y=65579..81354,z=-39391..-8720
on x=38716..51593,y=-22916..9050,z=51191..72341
on x=41708..72592,y=21789..55040,z=16830..37085
on x=-86698..-50596,y=-14192..-2839,z=35619..46625
on x=-46830..-27930,y=-81448..-59759,z=-6028..21764
on x=-44016..-36639,y=-61840..-28937,z=36509..67942
on x=13310..31955,y=-68626..-49294,z=-46784..-39318
on x=38860..64742,y=38732..58725,z=-43510..-29002
on x=-90461..-67594,y=-53950..-29966,z=-9548..3630
on x=-67554..-57558,y=-54779..-44189,z=21159..31677
on x=3757..32872,y=-80070..-60915,z=5277..16947
on x=-72838..-48066,y=-5015..17491,z=25977..48301
on x=23477..41778,y=15763..42256,z=-82192..-56024
on x=52710..75131,y=-29088..-1205,z=-41381..-37580
on x=38409..57853,y=-50857..-31314,z=-59158..-52612
