LLRLLRLRLRRRLLRRRLRRLRLRLRLRLRLRRLRRRLRLLRRLRRLRRRLLRLLRRLLRRRLLLRLRRRLLLLRRRLLRRRLRRLRLLRLRLRRRLRRRLRRLRRLRRLRLLRRRLRRLRRRLLRRRLRLRRLLRRLLRLRLRRLRRLLRLLRRLRLLRRRLLRRRLRRLLRRLRRRLRLRRRLRRLLLRLLRLLRRRLRLRLRLRRLRRRLLLRRRLRRRLRRRLRRLRLRLRLRRRLRRLLRLRRRLRLRLRRLLLRRRR

TFN = (SMC, LQT)
JKL = (XDN, KPK)
JMF = (HGP, QKF)
RJR = (VMR, RRM)
FJS = (RMD, HSP)
QKS = (KDN, KDN)
VTN = (PQR, LVV)
PNS = (SDG, XJF)
RQC = (TDX, DSD)
HSH = (QTK, VDS)
SSM = (NFM, PRT)
FDX = (JJJ, SCZ)
MHS = (PBJ, THP)
DPV = (KXL, STJ)
HVP = (DPV, RGP)
TPN = (TJC, KMC)
TFD = (QVD, DRT)
HQH = (TMT, SXJ)
HGP = (TNG, GMK)
FCC = (HGB, MLQ)
MDJ = (CCH, HMG)
QKF = (GMK, TNG)
DBP = (FNP, TRB)
QNQ = (SKD, HRG)
VGC = (LFV, TVS)
NQD = (PTD, TCM)
GSQ = (PPP, KHS)
LKC = (QKG, TTL)
FDD = (TRX, NKV)
QMG = (QSR, SDR)
SXD = (DNN, KJC)
NXD = (RLB, RLB)
SBP = (PRG, CXT)
XDM = (RKH, VRF)
GHD = (JLX, VXS)
XJV = (VXS, JLX)
GXX = (TDJ, NXP)
DMQ = (SLH, RTD)
SMC = (RFR, DPS)
BBC = (HPF, CJL)
GVZ = (CQJ, HRT)
MMT = (VPH, MGD)
LCQ = (HSH, TPX)
NXC = (NXP, TDJ)
NLL = (VJM, QTP)
NQZ = (CRR, KCL)
KLT = (SFS, PSM)
SDR = (FBB, KGM)
GCS = (HNQ, BDH)
HLJ = (JXV, SPG)
SRP = (XXC, RKP)
QJH = (XDC, DBP)
XJF = (NHT, SLL)
QCD = (RQM, LCQ)
QSS = (KHD, QMG)
XNJ = (FJS, GLF)
PFH = (NSP, HSG)
VVD = (JLQ, VKF)
PNT = (PXQ, CMM)
PJG = (DBP, XDC)
TTL = (LFS, NHL)
GJM = (HVL, GMF)
BGM = (QBK, SKV)
DXD = (GNN, HQH)
JPP = (QHM, DXD)
LPH = (JKS, HBQ)
CDG = (LXQ, KTC)
PLF = (HGG, LRS)
JJP = (SRQ, NQD)
PBH = (CMM, PXQ)
HGD = (XGK, XCL)
NNM = (GTK, XCB)
TFG = (JHM, JMK)
VDQ = (PSM, SFS)
NDP = (CGF, LBM)
CGF = (KVF, TVM)
KDN = (KCL, CRR)
RQM = (HSH, TPX)
JKB = (JPP, VGH)
XDC = (FNP, TRB)
VDF = (BKD, NQQ)
TKN = (VGM, BDK)
NSN = (GJV, SPB)
DSD = (QVK, MVX)
VFX = (PKM, VTN)
FRC = (JBH, BCK)
XKX = (PNS, CVL)
VRF = (QHR, FDX)
JCV = (BGP, BGP)
JRC = (JKV, NBL)
HNQ = (QNQ, HFB)
BMV = (DBV, CFH)
FTC = (PKM, VTN)
KHS = (TFD, VPM)
JQX = (VBL, PPX)
HGM = (NFM, PRT)
BGD = (LCQ, RQM)
PSM = (KJB, SJH)
VXL = (TDB, HGD)
LKT = (LDB, MMT)
RJV = (CJL, HPF)
JBF = (FJC, QHH)
RBV = (QKS, CTD)
GBL = (DCX, JRF)
XVX = (XGT, DCJ)
GSD = (JMG, CVR)
RGP = (STJ, KXL)
HRV = (LPG, DMQ)
VPH = (PQF, KLF)
STP = (NMG, BXH)
TTH = (HMV, NCR)
MLQ = (SFP, GCS)
RCR = (LBM, CGF)
CCB = (HQB, VSQ)
QGL = (RRS, RRS)
HVL = (LDR, CXN)
QKG = (NHL, LFS)
XGN = (HGG, LRS)
JCG = (KBS, QLP)
PVX = (XHG, XPC)
TPD = (TDH, QLT)
XQG = (NXD, KSK)
KHL = (GQX, TSK)
GVF = (VBJ, DJL)
SGB = (XXC, RKP)
RKD = (BNP, PTZ)
QNS = (JKS, HBQ)
JXV = (BQX, PKN)
JVJ = (SRQ, NQD)
VLG = (BJL, MTP)
VLJ = (KBP, VGC)
HQL = (PLF, XGN)
DTR = (SKV, QBK)
GJV = (HLP, DQR)
DTX = (GBQ, XDM)
TDH = (KBL, PRK)
KLF = (RPC, BMG)
LBQ = (NRF, MGJ)
XHG = (FBL, JMF)
CBC = (TNT, TJS)
SVP = (LTD, JQX)
KCC = (NMX, NBF)
NFS = (HVL, GMF)
GMH = (RND, CSJ)
FVF = (QVH, XLR)
NHK = (MQT, HFR)
NBN = (VMR, RRM)
CSD = (CSK, JPS)
VQL = (THK, SXT)
HFB = (SKD, HRG)
KHD = (QSR, SDR)
NLV = (SDB, DDZ)
CNP = (JHX, PDP)
PRK = (KPS, DDS)
CQB = (BBP, GCQ)
PCJ = (JRF, DCX)
HSG = (JCV, NTF)
SXJ = (CML, RKD)
SFP = (HNQ, BDH)
DDZ = (GXX, NXC)
HLR = (NKV, TRX)
BJL = (XPH, MSC)
JFS = (KJC, DNN)
NPH = (TBX, QCG)
KBR = (PJX, GVF)
JQH = (VNT, KBT)
MBX = (PTB, BMR)
NXR = (JBT, KMD)
NCR = (PMB, MJR)
THP = (BRT, FDV)
